"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Task can not be created with unauthorized request.","68","[Task][Unauthorized] Create.","tests.tasks","2026-09-12","passed","2026-09-12","","test_create_task","",""
"Project color can be updated within a specific range of colors","217","[Project] Update. Available color.","tests.projects","2026-09-12","passed","2026-09-12","","test_update_project","",""
"Task can not be created with invalid token used.","99","[Task][Invalid token] Create.","tests.tasks","2026-09-12","passed","2026-09-12","","test_create_task","",""
"Task can be created with several fields at once","395","[Task] Create. Several fields.","tests.tasks","2026-09-12","passed","2026-09-12","","test_create_task","",""
"Not existing task can not be deleted","118","[Task] Close. Not existing task.","tests.tasks","2026-09-12","passed","2026-09-12","","test_close_task","",""
"At least 1 field should be passed to update the project","75","[Project] Update. Empty request.","tests.projects","2026-09-12","passed","2026-09-12","","test_update_project","",""
"Project color can be updated within a specific range of colors","195","[Project] Update. Available color.","tests.projects","2026-09-12","passed","2026-09-12","","test_update_project","",""
"Task can not be reopened with invalid token used.","524","[Task][Invalid token] Reopen.","tests.tasks","2026-09-12","passed","2026-09-12","","test_reopen_task","",""
"Project can not be retrieved with unauthorized request.","73","[Project][Unauthorized] Get.","tests.projects","2026-09-12","passed","2026-09-12","","test_get_project","",""
"Project fields can be updated","328","[Project] Update. Existing project.","tests.projects","2026-09-12","passed","2026-09-12","","test_update_project","",""
"Project color can be updated within a specific range of colors","195","[Project] Update. Available color.","tests.projects","2026-09-12","passed","2026-09-12","","test_update_project","",""
"Project can not be created with unauthorized request.","71","[Project][Unauthorized] Create.","tests.projects","2026-09-12","passed","2026-09-12","","test_create_project","",""
"Task can not be closed with unauthorized request.","63","[Task][Unauthorized] Close.","tests.tasks","2026-09-12","passed","2026-09-12","","test_close_task","",""
"Task can not be deleted with invalid token used.","86","[Task][Invalid token] Delete.","tests.tasks","2026-09-12","passed","2026-09-12","","test_delete_task","",""
"Existing task can be retrieved","115","[Task] Get. Existing task.","tests.tasks","2026-09-12","passed","2026-09-12","","test_get_task","",""
"Project can not be updated with invalid token used.","106","[Project][Invalid token] Update.","tests.projects","2026-09-12","passed","2026-09-12","","test_update_project","",""
"Project color can be updated within a specific range of colors","192","[Project] Update. Available color.","tests.projects","2026-09-12","passed","2026-09-12","","test_update_project","",""
"Existing project should be accessible","113","[Project] Get. Existing project.","tests.projects","2026-09-12","passed","2026-09-12","","test_get_project","",""
"Project color can not be updated with unavailable color","77","[Project] Update. Unavailable color.","tests.projects","2026-09-12","passed","2026-09-12","","test_update_project","",""
"Task can not be updated with unauthorized request.","78","[Task][Unauthorized] Update.","tests.tasks","2026-09-12","passed","2026-09-12","","test_update_task","",""
"Task can not be retrieved with invalid token used.","88","[Task][Invalid token] Get.","tests.tasks","2026-09-12","passed","2026-09-12","","test_get_task","",""
"Project color can be updated within a specific range of colors","209","[Project] Update. Available color.","tests.projects","2026-09-12","passed","2026-09-12","","test_update_project","",""
"Project can not be updated with unauthorized request.","71","[Project][Unauthorized] Update.","tests.projects","2026-09-12","passed","2026-09-12","","test_update_project","",""
"Project color can be updated within a specific range of colors","200","[Project] Update. Available color.","tests.projects","2026-09-12","passed","2026-09-12","","test_update_project","",""
"Existing task can be deleted","561","[Task] Delete. Existing task.","tests.tasks","2026-09-12","passed","2026-09-12","","test_delete_task","",""
"Task priority can be updated within a specific range of numbers","251","[Task] Update. Priority. Invalid values.","tests.tasks","2026-09-12","passed","2026-09-12","","test_update_task","",""
