"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Task can not be deleted with invalid token used.","72","[Task][Invalid token] Delete.","tests.tasks","2026-08-29","passed","2026-08-29","","test_delete_task","",""
"Task can not be reopened with unauthorized request.","413","[Task][Unauthorized] Reopen.","tests.tasks","2026-08-29","passed","2026-08-29","","test_reopen_task","",""
"Task can not be closed with invalid token used.","86","[Task][Invalid token] Close.","tests.tasks","2026-08-29","passed","2026-08-29","","test_close_task","",""
"Project color can be updated within a specific range of colors","208","[Project] Update. Available color.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
"Project color can be updated within a specific range of colors","188","[Project] Update. Available color.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
"Project can not be created without required field","56","[Project] Create. Required field missed.","tests.projects","2026-08-29","passed","2026-08-29","","test_create_project","",""
"Task description can be updated","235","[Task] Update. Description.","tests.tasks","2026-08-29","passed","2026-08-29","","test_update_task","",""
"Project color can be updated within a specific range of colors","215","[Project] Update. Available color.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
"Project color can be updated within a specific range of colors","201","[Project] Update. Available color.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
"Task can not be reopened with invalid token used.","432","[Task][Invalid token] Reopen.","tests.tasks","2026-08-29","passed","2026-08-29","","test_reopen_task","",""
"List of all the projects should be accessible","138","[Project] Get. Full list of projects.","tests.projects","2026-08-29","passed","2026-08-29","","test_get_project","",""
"Project color can be updated within a specific range of colors","188","[Project] Update. Available color.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
"Project can not be retrieved with invalid token used.","122","[Project][Invalid token] Get.","tests.projects","2026-08-29","passed","2026-08-29","","test_get_project","",""
"Project can not be created with invalid token used.","89","[Project][Invalid token] Create.","tests.projects","2026-08-29","passed","2026-08-29","","test_create_project","",""
"Not existing task can not be deleted","368","[Task] Close. Not existing task.","tests.tasks","2026-08-29","passed","2026-08-29","","test_close_task","",""
"Project color can be updated within a specific range of colors","188","[Project] Update. Available color.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
"Project color can be updated within a specific range of colors","186","[Project] Update. Available color.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
"Project color can be updated within a specific range of colors","179","[Project] Update. Available color.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
"Project color can be updated within a specific range of colors","212","[Project] Update. Available color.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
"Deleting not existing project should result in getting error message","60","[Project] Delete. Not existing project.","tests.projects","2026-08-29","passed","2026-08-29","","test_delete_project","",""
"At least 1 field should be passed to update the project","75","[Project] Update. Empty request.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
"Task can not be retrieved with unauthorized request.","0","[Task][Unauthorized] Get.","tests.tasks","2026-08-29","skipped","2026-08-29","","test_get_task","",""
"Project can not be deleted with unauthorized request.","64","[Project][Unauthorized] Delete.","tests.projects","2026-08-29","passed","2026-08-29","","test_delete_project","",""
"Project color can be updated within a specific range of colors","170","[Project] Update. Available color.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
"Project can not be updated with invalid token used.","71","[Project][Invalid token] Update.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
"Reopening not closed task is correctly handled","200","[Task] Reopen. Not closed task.","tests.tasks","2026-08-29","passed","2026-08-29","","test_reopen_task","",""
"Project color can be updated within a specific range of colors","239","[Project] Update. Available color.","tests.projects","2026-08-29","passed","2026-08-29","","test_update_project","",""
