"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Project can not be updated with invalid token used.","141","[Project][Invalid token] Update.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Task can not be updated with unauthorized request.","104","[Task][Unauthorized] Update.","tests.tasks","2026-09-26","passed","2026-09-26","","test_update_task","",""
"Task can not be deleted with invalid token used.","127","[Task][Invalid token] Delete.","tests.tasks","2026-09-26","passed","2026-09-26","","test_delete_task","",""
"Project color can be updated within a specific range of colors","252","[Project] Update. Available color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Task can be created with 1 required field: task content","283","[Task] Create. Required field only.","tests.tasks","2026-09-26","passed","2026-09-26","","test_create_task","",""
"Task priority can be updated within a specific range of numbers","293","[Task] Update. Priority. Invalid values.","tests.tasks","2026-09-26","passed","2026-09-26","","test_update_task","",""
"Project color can be updated within a specific range of colors","207","[Project] Update. Available color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Project color can be updated within a specific range of colors","220","[Project] Update. Available color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Project can be created with 1 required field: project name","331","[Project] Create. Required field only.","tests.projects","2026-09-26","passed","2026-09-26","","test_create_project","",""
"Project color can be updated within a specific range of colors","215","[Project] Update. Available color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Project can not be deleted with invalid token used.","140","[Project][Invalid token] Delete.","tests.projects","2026-09-26","passed","2026-09-26","","test_delete_project","",""
"Project can not be deleted with unauthorized request.","105","[Project][Unauthorized] Delete.","tests.projects","2026-09-26","passed","2026-09-26","","test_delete_project","",""
"Existing task can be deleted","640","[Task] Delete. Existing task.","tests.tasks","2026-09-26","passed","2026-09-26","","test_delete_task","",""
"List of all the projects should be accessible","137","[Project] Get. Full list of projects.","tests.projects","2026-09-26","passed","2026-09-26","","test_get_project","",""
"Project can be created with several fields at once","256","[Project] Create. All the fields.","tests.projects","2026-09-26","passed","2026-09-26","","test_create_project","",""
"Task can not be deleted with unauthorized request.","108","[Task][Unauthorized] Delete.","tests.tasks","2026-09-26","passed","2026-09-26","","test_delete_task","",""
"Project fields can be updated","307","[Project] Update. Existing project.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"List of all the active tasks should be accessible","495","[Task] Get. Full list of active tasks.","tests.tasks","2026-09-26","passed","2026-09-26","","test_get_task","",""
"Project can not be retrieved with unauthorized request.","102","[Project][Unauthorized] Get.","tests.projects","2026-09-26","passed","2026-09-26","","test_get_project","",""
"Reopening not closed task is correctly handled","324","[Task] Reopen. Not closed task.","tests.tasks","2026-09-26","passed","2026-09-26","","test_reopen_task","",""
"Project color can not be updated with unavailable color","116","[Project] Update. Unavailable color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Task can not be retrieved with invalid token used.","131","[Task][Invalid token] Get.","tests.tasks","2026-09-26","passed","2026-09-26","","test_get_task","",""
"Task can be created with several fields at once","287","[Task] Create. Several fields.","tests.tasks","2026-09-26","passed","2026-09-26","","test_create_task","",""
"Project color can be updated within a specific range of colors","300","[Project] Update. Available color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Project can not be created with invalid required field values: """", "" ""","122","[Project] Create. Required field invalid value.","tests.projects","2026-09-26","passed","2026-09-26","","test_create_project","",""
"Task can not be updated with invalid token used.","121","[Task][Invalid token] Update.","tests.tasks","2026-09-26","passed","2026-09-26","","test_update_task","",""
"Task can not be retrieved with unauthorized request.","0","[Task][Unauthorized] Get.","tests.tasks","2026-09-26","skipped","2026-09-26","","test_get_task","",""
"Task can not be closed with unauthorized request.","103","[Task][Unauthorized] Close.","tests.tasks","2026-09-26","passed","2026-09-26","","test_close_task","",""
"Project color can be updated within a specific range of colors","217","[Project] Update. Available color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Task can not be closed with invalid token used.","133","[Task][Invalid token] Close.","tests.tasks","2026-09-26","passed","2026-09-26","","test_close_task","",""
"Existing task can be retrieved","167","[Task] Get. Existing task.","tests.tasks","2026-09-26","passed","2026-09-26","","test_get_task","",""
"At least 1 field should be passed to update the project","114","[Project] Update. Empty request.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Project color can be updated within a specific range of colors","224","[Project] Update. Available color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Not existing task can not be deleted","155","[Task] Close. Not existing task.","tests.tasks","2026-09-26","passed","2026-09-26","","test_close_task","",""
"Project color can be updated within a specific range of colors","209","[Project] Update. Available color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Project color can be updated within a specific range of colors","267","[Project] Update. Available color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Task description can be updated","283","[Task] Update. Description.","tests.tasks","2026-09-26","passed","2026-09-26","","test_update_task","",""
"Project color can be updated within a specific range of colors","215","[Project] Update. Available color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Project can not be created with invalid required field values: """", "" ""","0","[Project] Create. Required field invalid value.","tests.projects","2026-09-26","skipped","2026-09-26","","test_create_project","",""
"Project color can be updated within a specific range of colors","273","[Project] Update. Available color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
"Project can not be created with invalid token used.","121","[Project][Invalid token] Create.","tests.projects","2026-09-26","passed","2026-09-26","","test_create_project","",""
"Project color can be updated within a specific range of colors","610","[Project] Update. Available color.","tests.projects","2026-09-26","passed","2026-09-26","","test_update_project","",""
