"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deleting not existing project should result in getting error message","306","[Project] Delete. Not existing project.","tests.projects","2026-08-22","passed","2026-08-22","","test_delete_project","",""
"After deletion project can not be accessed","1024","[Project] Delete. Existing project.","tests.projects","2026-08-22","passed","2026-08-22","","test_delete_project","",""
"Project color can be updated within a specific range of colors","710","[Project] Update. Available color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Task priority can be updated within a specific range of numbers","513","[Task] Update. Priority. Invalid values.","tests.tasks","2026-08-22","passed","2026-08-22","","test_update_task","",""
"Project can not be retrieved with unauthorized request.","152","[Project][Unauthorized] Get.","tests.projects","2026-08-22","passed","2026-08-22","","test_get_project","",""
"List of all the projects should be accessible","245","[Project] Get. Full list of projects.","tests.projects","2026-08-22","passed","2026-08-22","","test_get_project","",""
"Project can not be created with invalid required field values: """", "" ""","457","[Project] Create. Required field invalid value.","tests.projects","2026-08-22","passed","2026-08-22","","test_create_project","",""
"Task can be created with several fields at once","740","[Task] Create. Several fields.","tests.tasks","2026-08-22","passed","2026-08-22","","test_create_task","",""
"Project can not be created without required field","100","[Project] Create. Required field missed.","tests.projects","2026-08-22","passed","2026-08-22","","test_create_project","",""
"Existing task can be deleted","1166","[Task] Delete. Existing task.","tests.tasks","2026-08-22","passed","2026-08-22","","test_delete_task","",""
"Task can not be deleted with invalid token used.","213","[Task][Invalid token] Delete.","tests.tasks","2026-08-22","passed","2026-08-22","","test_delete_task","",""
"Project color can not be updated with unavailable color","547","[Project] Update. Unavailable color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Project can not be deleted with invalid token used.","272","[Project][Invalid token] Delete.","tests.projects","2026-08-22","passed","2026-08-22","","test_delete_project","",""
"Project color can be updated within a specific range of colors","674","[Project] Update. Available color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Task description can be updated","610","[Task] Update. Description.","tests.tasks","2026-08-22","passed","2026-08-22","","test_update_task","",""
"Project can not be updated with unauthorized request.","157","[Project][Unauthorized] Update.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Project fields can be updated","1183","[Project] Update. Existing project.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Existing project should be accessible","374","[Project] Get. Existing project.","tests.projects","2026-08-22","passed","2026-08-22","","test_get_project","",""
"Task priority can be updated within a specific range of numbers","602","[Task] Update. Priority. Invalid values.","tests.tasks","2026-08-22","passed","2026-08-22","","test_update_task","",""
"Project color can be updated within a specific range of colors","452","[Project] Update. Available color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Task reopening also reopens its ancestor","5052","[Task] Reopen. Task with an ancestor.","tests.tasks","2026-08-22","passed","2026-08-22","","test_reopen_task","",""
"Existing task can be retrieved","334","[Task] Get. Existing task.","tests.tasks","2026-08-22","passed","2026-08-22","","test_get_task","",""
"Project color can be updated within a specific range of colors","534","[Project] Update. Available color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Project color can be updated within a specific range of colors","969","[Project] Update. Available color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Project color can be updated within a specific range of colors","498","[Project] Update. Available color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Task can not be deleted with unauthorized request.","146","[Task][Unauthorized] Delete.","tests.tasks","2026-08-22","passed","2026-08-22","","test_delete_task","",""
"Project color can be updated within a specific range of colors","1040","[Project] Update. Available color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Project color can be updated within a specific range of colors","825","[Project] Update. Available color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Project color can be updated within a specific range of colors","804","[Project] Update. Available color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Project color can be updated within a specific range of colors","888","[Project] Update. Available color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Task priority can be updated within a specific range of numbers","560","[Task] Update. Priority. Invalid values.","tests.tasks","2026-08-22","passed","2026-08-22","","test_update_task","",""
"Task can not be closed with unauthorized request.","164","[Task][Unauthorized] Close.","tests.tasks","2026-08-22","passed","2026-08-22","","test_close_task","",""
"Task can not be created with unauthorized request.","249","[Task][Unauthorized] Create.","tests.tasks","2026-08-22","passed","2026-08-22","","test_create_task","",""
"Project color can be updated within a specific range of colors","892","[Project] Update. Available color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
"Task can not be updated with invalid token used.","338","[Task][Invalid token] Update.","tests.tasks","2026-08-22","passed","2026-08-22","","test_update_task","",""
"Project color can be updated within a specific range of colors","809","[Project] Update. Available color.","tests.projects","2026-08-22","passed","2026-08-22","","test_update_project","",""
