"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"List of all the projects should be accessible","993","[Project] Get. Full list of projects.","tests.projects","2026-08-11","passed","2026-08-11","","test_get_project","",""
"Project color can be updated within a specific range of colors","392","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Project can not be retrieved with invalid token used.","191","[Project][Invalid token] Get.","tests.projects","2026-08-11","passed","2026-08-11","","test_get_project","",""
"Task can be created with 1 required field: task content","715","[Task] Create. Required field only.","tests.tasks","2026-08-11","passed","2026-08-11","","test_create_task","",""
"Project color can be updated within a specific range of colors","1186","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Task can not be deleted with invalid token used.","179","[Task][Invalid token] Delete.","tests.tasks","2026-08-11","passed","2026-08-11","","test_delete_task","",""
"Project color can be updated within a specific range of colors","402","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Task can not be deleted with unauthorized request.","139","[Task][Unauthorized] Delete.","tests.tasks","2026-08-11","passed","2026-08-11","","test_delete_task","",""
"Existing task can be retrieved","265","[Task] Get. Existing task.","tests.tasks","2026-08-11","passed","2026-08-11","","test_get_task","",""
"Task can not be reopened with unauthorized request.","1012","[Task][Unauthorized] Reopen.","tests.tasks","2026-08-11","passed","2026-08-11","","test_reopen_task","",""
"Project color can be updated within a specific range of colors","642","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Project color can be updated within a specific range of colors","721","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Deleting not existing project should result in getting error message","286","[Project] Delete. Not existing project.","tests.projects","2026-08-11","passed","2026-08-11","","test_delete_project","",""
"Task can not be created without required field","259","[Task] Create. Required field missed.","tests.tasks","2026-08-11","passed","2026-08-11","","test_create_task","",""
"Project can not be created with unauthorized request.","94","[Project][Unauthorized] Create.","tests.projects","2026-08-11","passed","2026-08-11","","test_create_project","",""
"Task can not be reopened with invalid token used.","1058","[Task][Invalid token] Reopen.","tests.tasks","2026-08-11","passed","2026-08-11","","test_reopen_task","",""
"Not existing task can not be deleted","209","[Task] Close. Not existing task.","tests.tasks","2026-08-11","passed","2026-08-11","","test_close_task","",""
"Task can be created with several fields at once","861","[Task] Create. Several fields.","tests.tasks","2026-08-11","passed","2026-08-11","","test_create_task","",""
"Project can not be updated with invalid token used.","166","[Project][Invalid token] Update.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Existing project should be accessible","1048","[Project] Get. Existing project.","tests.projects","2026-08-11","passed","2026-08-11","","test_get_project","",""
"Task can not be updated with invalid token used.","227","[Task][Invalid token] Update.","tests.tasks","2026-08-11","passed","2026-08-11","","test_update_task","",""
"Project can not be created with invalid required field values: """", "" ""","0","[Project] Create. Required field invalid value.","tests.projects","2026-08-11","skipped","2026-08-11","","test_create_project","",""
"Project can not be updated with unauthorized request.","735","[Project][Unauthorized] Update.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Project can be created with several fields at once","807","[Project] Create. All the fields.","tests.projects","2026-08-11","passed","2026-08-11","","test_create_project","",""
"Project can not be retrieved with unauthorized request.","100","[Project][Unauthorized] Get.","tests.projects","2026-08-11","passed","2026-08-11","","test_get_project","",""
"Project color can be updated within a specific range of colors","401","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Project color can be updated within a specific range of colors","480","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Project color can not be updated with unavailable color","579","[Project] Update. Unavailable color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Task description can be updated","1046","[Task] Update. Description.","tests.tasks","2026-08-11","passed","2026-08-11","","test_update_task","",""
"Project color can be updated within a specific range of colors","548","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Task priority can be updated within a specific range of numbers","1446","[Task] Update. Priority. Invalid values.","tests.tasks","2026-08-11","passed","2026-08-11","","test_update_task","",""
"Project color can be updated within a specific range of colors","313","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Task can not be retrieved with invalid token used.","934","[Task][Invalid token] Get.","tests.tasks","2026-08-11","passed","2026-08-11","","test_get_task","",""
"List of all the active tasks should be accessible","899","[Task] Get. Full list of active tasks.","tests.tasks","2026-08-11","passed","2026-08-11","","test_get_task","",""
"Project can not be created with invalid required field values: """", "" ""","153","[Project] Create. Required field invalid value.","tests.projects","2026-08-11","passed","2026-08-11","","test_create_project","",""
"Reopening not closed task is correctly handled","502","[Task] Reopen. Not closed task.","tests.tasks","2026-08-11","passed","2026-08-11","","test_reopen_task","",""
"Task can not be updated with unauthorized request.","84","[Task][Unauthorized] Update.","tests.tasks","2026-08-11","passed","2026-08-11","","test_update_task","",""
"Task can not be retrieved with unauthorized request.","0","[Task][Unauthorized] Get.","tests.tasks","2026-08-11","skipped","2026-08-11","","test_get_task","",""
"After deletion project can not be accessed","824","[Project] Delete. Existing project.","tests.projects","2026-08-11","passed","2026-08-11","","test_delete_project","",""
"Project can be created with 1 required field: project name","1062","[Project] Create. Required field only.","tests.projects","2026-08-11","passed","2026-08-11","","test_create_project","",""
"Project color can be updated within a specific range of colors","616","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Task priority can be updated within a specific range of numbers","563","[Task] Update. Priority. Invalid values.","tests.tasks","2026-08-11","passed","2026-08-11","","test_update_task","",""
"Project color can be updated within a specific range of colors","393","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Project can not be deleted with unauthorized request.","257","[Project][Unauthorized] Delete.","tests.projects","2026-08-11","passed","2026-08-11","","test_delete_project","",""
"At least 1 field should be passed to update the project","170","[Project] Update. Empty request.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Task can not be closed with invalid token used.","251","[Task][Invalid token] Close.","tests.tasks","2026-08-11","passed","2026-08-11","","test_close_task","",""
"Project color can be updated within a specific range of colors","554","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Existing task can be deleted","1036","[Task] Close. Existing task.","tests.tasks","2026-08-11","passed","2026-08-11","","test_close_task","",""
"Project can not be created with invalid token used.","234","[Project][Invalid token] Create.","tests.projects","2026-08-11","passed","2026-08-11","","test_create_project","",""
"Project color can be updated within a specific range of colors","451","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Task can not be created with invalid token used.","299","[Task][Invalid token] Create.","tests.tasks","2026-08-11","passed","2026-08-11","","test_create_task","",""
"Existing task can be deleted","1115","[Task] Delete. Existing task.","tests.tasks","2026-08-11","passed","2026-08-11","","test_delete_task","",""
"Task can not be created with unauthorized request.","132","[Task][Unauthorized] Create.","tests.tasks","2026-08-11","passed","2026-08-11","","test_create_task","",""
"Project color can be updated within a specific range of colors","561","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Task can not be closed with unauthorized request.","82","[Task][Unauthorized] Close.","tests.tasks","2026-08-11","passed","2026-08-11","","test_close_task","",""
"Project color can be updated within a specific range of colors","483","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
"Project color can be updated within a specific range of colors","444","[Project] Update. Available color.","tests.projects","2026-08-11","passed","2026-08-11","","test_update_project","",""
